Company,Country
Nintendo,Japan
Microsoft Game Studios,USA
Take-Two Interactive,USA
Sony Computer Entertainment,Japan
Activision,USA
Ubisoft,France
Bethesda Softworks,USA
Electronic Arts,USA
Sega,Japan
SquareSoft,Japan
Atari,USA
505 Games,Italy
Capcom,Japan
GT Interactive,USA
Konami Digital Entertainment,Japan
Sony Computer Entertainment Europe,United Kingdom
Square Enix,Japan
LucasArts,USA
Virgin Interactive,USA
Warner Bros. Interactive Entertainment,USA
Universal Interactive,USA
Eidos Interactive,United Kingdom
RedOctane,USA
Vivendi Games,France
Enix Corporation,Japan
Namco Bandai Games,Japan
Palcom,Japan
Hasbro Interactive,USA
THQ,USA
Fox Interactive,USA
Acclaim Entertainment,USA
MTV Games,USA
Disney Interactive Studios,USA
Majesco Entertainment,USA
Codemasters,United Kingdom
Red Orb,USA
Level 5,Japan
Arena Entertainment,Japan
Midway Games,USA
JVC,Japan
Deep Silver,Austria
989 Studios,USA
NCSoft,South Korea
UEP Systems,USA
Parker Bros.,USA
Maxis,USA
Imagic,USA
Tecmo Koei,Japan
Valve Software,USA
ASCII Entertainment,Japan
Mindscape,USA
Infogrames,France
Unknown,N/A
Square,Japan
Valve,USA
Activision Value,USA
Banpresto,Japan
D3Publisher,USA
Oxygen Interactive,United Kingdom
Red Storm Entertainment,USA
Video System,Japan
Hello Games,United Kingdom
Global Star,USA
Gotham Games,USA
Westwood Studios,USA
GungHo,Japan
Crave Entertainment,USA
Hudson Soft,Japan
Coleco,USA
Rising Star Games,United Kingdom
Atlus,Japan
TDK Mediactive,USA
ASC Games,USA
Zoo Games,USA
Accolade,USA
Sony Online Entertainment,USA
3DO,USA
RTL,Germany
Natsume,Japan
Focus Home Interactive,France
Alchemist,Japan
Black Label Games,USA
SouthPeak Games,USA
Mastertronic,United Kingdom
Ocean,France
Zoo Digital Publishing,United Kingdom
Psygnosis,United Kingdom
City Interactive,Poland
Empire Interactive,United Kingdom
Success,Japan
Compile,Japan
Russel,Japan
Taito,Japan
Agetec,USA
GSP,United Kingdom
Microprose,USA
Play It,United Kingdom
Slightly Mad Studios,United Kingdom
Tomy Corporation,Japan
Sammy Corporation,Japan
Koch Media,Germany
Game Factory,United Kingdom
Titus,France
Marvelous Entertainment,Japan
Genki,Japan
Mojang,Sweden
Pinnacle,Japan
CTO SpA,Italy
